Parametre;Coefficient de corellation;Count;Top;List
Diméthoate;-0.11984648467999998;25;0.657880869;0.657880869,-0.569760999,-0.522655487,-0.46469679,-0.456743156,-0.429433896,-0.417566981,-0.413503632,0.404643336,-0.390071194,-0.350286491,-0.339407825,0.333541211,0.307702075,0.302760121,0.242006776,-0.224869186,-0.208918571,0.202096791,-0.198429219,-0.188570258,-0.131882956,-0.113355137,-0.107599491,0.080957973
Chloronitrobenzène-1,4;0.11778383304000001;25;0.846557383;0.846557383,0.584484499,-0.580622226,0.533888007,0.52580156,0.457778583,-0.454380144,0.451652112,0.362756973,0.334290685,0.225343289,-0.201897134,-0.167193913,-0.133309104,0.129839845,-0.124300766,0.120382078,0.113833202,-0.109394469,0.085206657,0.068663767,-0.055890216,-0.03460765,-0.021222186,-0.013065006
Heptabromodiphényl éther (congénère 181);0.1175084236;20;0.784574822;0.784574822,0.603655732,-0.52368364,-0.52099425,0.424736815,0.422355786,-0.420030919,0.375780003,0.373539606,0.352587939,0.318401295,-0.190235488,0.177454676,-0.158451288,0.136949537,0.109403734,-0.076150506,0.060508285,0.051215679,0.048550654
Tolylfluanide;0.11687409491666667;12;-0.823993024;-0.823993024,0.726367508,0.708631158,-0.490586755,0.467178814,0.450241611,0.223971281,0.131138318,-0.111042597,0.099864719,0.074490312,-0.053772206
Chlorthiamide;0.11623303927272727;11;0.616203689;0.616203689,0.54841966,-0.422174041,0.357538953,0.280960347,-0.228988251,0.21061617,-0.198462511,0.07599696,0.023292238,0.015160218
heptabromodiphényl éther (congénère 183);0.11585959063636363;11;0.801292381;0.801292381,-0.502894846,0.412698413,-0.412387253,0.375621068,0.331727227,0.177910238,0.139456033,-0.048967764,0,0
Triadiméfone;0.11522805356249996;16;0.900177104;0.900177104,0.657880869,0.51192894,-0.46736499,-0.449957375,0.43483159,-0.312612463,0.246922572,0.198740567,-0.131882956,0.09998521,0.086057389,0.080957973,0.062292459,-0.062009531,-0.012298501
3 chloropropène;0.11515199283333334;12;0.576964232;0.576964232,0.543423251,0.445349709,0.35678119,-0.316295117,-0.246912073,-0.230321121,0.161422608,0.051783425,0.051588704,-0.007319147,-0.004641747
2-nitrotoluène;0.11497104003999999;25;0.806264282;0.806264282,0.663321247,-0.55198358,0.494593018,0.469129839,0.415158835,0.409690477,0.406756292,-0.347118199,0.333500377,0.280365814,-0.227553322,-0.212534872,0.201458817,0.189061651,-0.167436814,-0.159949384,-0.134521193,-0.13366644,0.10310957,-0.082495482,0.075183417,0.033178316,0.005407947,0.005355388
2-Chloro-3-nitrotoluene;0.11471361441666668;12;0.652091465;0.652091465,0.546459067,0.522684759,-0.380002641,0.280058723,-0.271998175,0.214126453,-0.119256959,-0.063325709,-0.039280821,0.027927169,0.007080042
2-chloro-4-nitrotoluene;0.11471361441666668;12;0.652091465;0.652091465,0.546459067,0.522684759,-0.380002641,0.280058723,-0.271998175,0.214126453,-0.119256959,-0.063325709,-0.039280821,0.027927169,0.007080042
Azaconazole;0.11440578518750001;16;0.836051202;0.836051202,0.603667693,0.491185074,-0.373367759,0.30339053,-0.155480951,0.152433774,0.14038169,-0.069922914,-0.052445959,-0.05238914,-0.049080815,0.043531956,0.01371444,-0.00452478,0.003348522
